station,street,alias,R,H,lat,long
1013,Krohnstieg NO Garstedter Weg,Airport North Krohnstieg,564424.08,5944479.91,53.645119174866444,9.9745743059052
1017,Garstedter Weg SW Krohnstieg,Airport North Garstedter,564446.57,5944515.63,53.6454374262906,9.974921873292338
1018,Swebenweg W Krohnstieg,Airport North,564439.96,5944528.86,53.64555714039113,9.974824637978081
1022,Zeppelinstraße N Terminalzufahrten (UFu),Airport East,566773.58,5943448.04,53.63555113946575,10.009888814185285
1035,Kollaustraße SO Vogt-Cordes-Damm,Airport South,563027.08,5940876.28,53.61290265769918,9.952714628942715
1054,Luruper Hauptstraße O Engelbrechtweg (Landesgrenze),Hamburg West,556571.26,5939103.58,53.59770745942124,9.854819566536118
1061,Fruchtallee NW Emilienstraße,Eimsbüttel Emilienstraße,563132.92,5936193.17,53.570801462719274,9.953366332717259
1077,Doormannsweg SW Fruchtallee,Eimsbüttel Fruchtallee,563270.5,5936076.75,53.56973858616483,9.955420017027542
1081,Habichtstraße NW Meisenstraße,Barmbek,570065.0,5938436.83,53.59008533900645,10.058532255574141
1097,Wandsbeker Marktstraße SW Wandsbeker Königstraße,Hamburg East,570498.91,5936330.75,53.57109983966173,10.064610755465214
1114,Deichtortunnel O Meßberg,City Center,566456.08,5933610.83,53.54718304238617,10.002991799684608
1123,Oberbaumbrücke NO Poggenmühle,Speicherstadt,566466.67,5933462.67,53.54585015513352,10.00312011564788
1173,Neue Elbbrücke NO Veddeler Marktplatz,Motorway feeder,567927.17,5931705.83,53.529874238404794,10.024776890051605
1196,A1 S AK Hamburg-Süd,Interchange Hamburg South ,568720.92,5929324.59,53.50837041419888,10.036227217637192
1212,A253 N AS HH-Neuland (Europabrücke),Wilhelmsburg,566106.83,5925387.59,53.47332244574496,9.995987222565699
1221,Buxtehuder Straße NW Bleicherweg,Harburg,564741.58,5924498.59,53.46550227953171,9.975238043472498
